epoch,phone_train_mse,phone_train_pcc,phone_test_mse,phone_test_pcc,learning rate,utt_train_mse_accuracy,utt_train_mse_completeness,utt_train_mse_fluency,utt_train_mse_prosodic,utt_train_mse_total,utt_train_pcc_accuracy,utt_train_pcc_completeness,utt_train_pcc_fluency,utt_train_pcc_prosodic,utt_train_pcc_total,utt_test_mse_accuracy,utt_test_mse_completeness,utt_test_mse_fluency,utt_test_mse_prosodic,utt_test_mse_total,utt_test_pcc_accuracy,utt_test_pcc_completeness,utt_test_pcc_fluency,utt_test_pcc_prosodic,utt_test_pcc_total,word_train_pcc_accuracy,word_train_pcc_stress,word_train_pcc_total,word_test_pcc_accuracy,word_test_pcc_stress,word_test_pcc_total
1.000000000000000000e+01,8.654822409152984619e-02,7.164289324982189289e-01,7.031602412462234497e-02,6.762734332099662460e-01,1.000000000000000021e-03,4.641244933009147644e-02,8.316788007505238056e-04,4.379145428538322449e-02,4.287891089916229248e-02,4.240701720118522644e-02,7.782339323469191772e-01,8.303081352966654172e-02,7.399456226853218244e-01,7.268744915598442935e-01,7.899437226565588777e-01,4.872204735875129700e-02,2.282883739098906517e-03,4.442648217082023621e-02,4.624935239553451538e-02,4.601839557290077209e-02,6.951877647284367967e-01,1.758355460873426979e-01,6.370436760872926207e-01,6.266656765194735801e-01,7.059017968354343031e-01,6.662823213951909462e-01,2.366076153265140591e-01,6.775371631714930398e-01,5.897904188851187390e-01,1.464762893983872216e-01,6.011950546379632998e-01
1.100000000000000000e+01,8.449409902095794678e-02,7.195242269790580458e-01,6.843937933444976807e-02,6.803734871028743747e-01,5.000000000000000104e-04,4.855547472834587097e-02,7.635595975443720818e-04,4.662518203258514404e-02,4.530799388885498047e-02,5.004914477467536926e-02,7.795539993458447947e-01,6.392100427645304450e-02,7.406695274210226554e-01,7.266017560442803447e-01,7.903765250322455360e-01,5.211560055613517761e-02,2.247031545266509056e-03,4.644037038087844849e-02,4.862216487526893616e-02,5.362497270107269287e-02,6.941794812448400798e-01,1.632954630885374014e-01,6.359441737065438804e-01,6.249323212306961972e-01,7.052811841785066038e-01,6.697618425997668989e-01,2.153020208988319917e-01,6.790458256914040369e-01,5.922183773019383812e-01,1.261528524055335609e-01,6.015978704337650029e-01
1.200000000000000000e+01,8.497034758329391479e-02,7.201378984662477611e-01,6.879338622093200684e-02,6.810158095700893366e-01,5.000000000000000104e-04,4.586732760071754456e-02,6.809200858697295189e-04,4.482712224125862122e-02,4.264857992529869080e-02,4.254263266921043396e-02,7.811442372969091830e-01,6.354035261065173190e-02,7.450302970130279201e-01,7.314866326868492141e-01,7.946335581275019155e-01,4.902363568544387817e-02,2.164417877793312073e-03,4.499667510390281677e-02,4.619780555367469788e-02,4.614325985312461853e-02,6.952011563157142193e-01,1.686720288851818739e-01,6.409581130966203188e-01,6.306026608068988626e-01,7.092207363273199672e-01,6.672853027119697300e-01,2.110968523902437555e-01,6.781451594028155005e-01,5.881632369126291726e-01,1.227625219133229306e-01,5.996019161015717636e-01
1.300000000000000000e+01,8.422500640153884888e-02,7.218259263333773879e-01,6.825830042362213135e-02,6.820969927212585660e-01,5.000000000000000104e-04,4.622780904173851013e-02,6.794041837565600872e-04,4.293490573763847351e-02,4.180834814906120300e-02,4.322923719882965088e-02,7.843759098838462007e-01,5.876047648700156306e-02,7.492024903597368501e-01,7.349121326656585795e-01,7.966633911474483298e-01,4.877747222781181335e-02,2.192423446103930473e-03,4.336739704012870789e-02,4.524952545762062073e-02,4.637159034609794617e-02,7.004730674200937424e-01,1.472725784019236484e-01,6.453973828240172628e-01,6.348807830078322390e-01,7.118071607186139405e-01,6.776897972964376349e-01,2.099956072188753353e-01,6.885918105335069317e-01,5.989376593048428843e-01,1.213627794342883176e-01,6.102649997519491443e-01
1.400000000000000000e+01,8.262399584054946899e-02,7.254205523305320424e-01,6.774501502513885498e-02,6.824590389883540276e-01,5.000000000000000104e-04,4.456812143325805664e-02,7.359186420217156410e-04,4.205698147416114807e-02,4.138863459229469299e-02,4.068635776638984680e-02,7.885732740024744558e-01,9.206303696306956941e-02,7.521698405473919991e-01,7.386571994251366347e-01,8.010648898212047175e-01,4.746955260634422302e-02,2.224228112027049065e-03,4.339104518294334412e-02,4.529144987463951111e-02,4.514311254024505615e-02,7.015048234542210492e-01,1.850376174815476227e-01,6.470045269802673360e-01,6.373631350975241805e-01,7.129960197906447528e-01,6.740108491968002102e-01,2.277666607991907233e-01,6.859744950485230364e-01,5.913696500059003602e-01,1.348110448665622019e-01,6.041756806897260468e-01
1.500000000000000000e+01,8.279193937778472900e-02,7.277485064874353871e-01,6.850069761276245117e-02,6.829678581465189469e-01,5.000000000000000104e-04,4.284996539354324341e-02,6.798363174311816692e-04,4.247287660837173462e-02,4.132555425167083740e-02,3.961892798542976379e-02,7.920757436491302483e-01,9.790578059682057688e-02,7.555327810072526296e-01,7.420279056391749783e-01,8.037210689238827310e-01,4.649214446544647217e-02,2.164836041629314423e-03,4.452990368008613586e-02,4.536352306604385376e-02,4.422678053379058838e-02,7.049142920174562565e-01,1.833769857952823046e-01,6.507177564074289045e-01,6.418243460465551387e-01,7.155986428399861987e-01,6.735497791780886701e-01,2.434622845016383708e-01,6.846381492182314066e-01,5.901202909789120543e-01,1.499990964521597525e-01,6.019915593069196103e-01
1.600000000000000000e+01,8.178830146789550781e-02,7.288178013449537751e-01,6.770648807287216187e-02,6.831965305533205246e-01,2.500000000000000052e-04,4.264887049794197083e-02,7.255801465362310410e-04,4.336300119757652283e-02,4.175904393196105957e-02,4.096308723092079163e-02,7.933864355461919260e-01,4.595269480995300970e-02,7.570362236903532827e-01,7.437823364104213519e-01,8.041245387064501760e-01,4.606898128986358643e-02,2.265930874273180962e-03,4.547846317291259766e-02,4.579054564237594604e-02,4.562731459736824036e-02,7.064660848359366474e-01,1.241683863790720294e-01,6.529808637329467258e-01,6.440519469359350380e-01,7.161300264624592682e-01,6.776876143358024907e-01,2.243686531717416777e-01,6.903282551076547202e-01,5.926030233973886840e-01,1.355358218098118850e-01,6.064878103263956488e-01
1.700000000000000000e+01,8.138167113065719604e-02,7.303366730025165898e-01,6.767259538173675537e-02,6.828088890592184379e-01,2.500000000000000052e-04,4.232395440340042114e-02,7.206119480542838573e-04,4.131281003355979919e-02,4.069945216178894043e-02,3.909394517540931702e-02,7.950385361289623587e-01,6.422738001019027976e-02,7.580322343697109000e-01,7.448509294259367808e-01,8.057444271709365280e-01,4.649525508284568787e-02,2.250144490972161293e-03,4.333515837788581848e-02,4.488861188292503357e-02,4.394508898258209229e-02,7.055159223093977472e-01,1.441876718880299169e-01,6.519866516306677129e-01,6.433718129762966420e-01,7.156028677130021887e-01,6.758216354838438855e-01,2.306772094924064986e-01,6.887332713203244694e-01,5.890993720381650922e-01,1.385854742035774467e-01,6.033034983341049040e-01
1.800000000000000000e+01,8.144848048686981201e-02,7.314140499179113686e-01,6.811099499464035034e-02,6.828936252080070046e-01,2.500000000000000052e-04,4.231286793947219849e-02,6.818989058956503868e-04,4.146254807710647583e-02,4.120260477066040039e-02,4.033906757831573486e-02,7.968106993255037462e-01,7.651115188510096421e-02,7.597690937433440039e-01,7.464844518683403374e-01,8.073315973696935099e-01,4.619915783405303955e-02,2.204381860792636871e-03,4.381555318832397461e-02,4.551833868026733398e-02,4.560158774256706238e-02,7.071710996684431594e-01,1.563027542539328907e-01,6.535012171400055303e-01,6.453007943719047956e-01,7.165777885839722527e-01,6.773113789876665791e-01,2.378576181864426597e-01,6.894025948269701942e-01,5.896321629773459971e-01,1.418989907795649708e-01,6.028729603255020830e-01
1.900000000000000000e+01,8.120023459196090698e-02,7.313983480738389664e-01,6.791234016418457031e-02,6.823261010223686807e-01,2.500000000000000052e-04,4.274658858776092529e-02,6.579247419722378254e-04,4.102246463298797607e-02,4.055395722389221191e-02,3.875053673982620239e-02,7.985234087392095725e-01,6.672791797391454394e-02,7.607915535953441166e-01,7.475775267764604992e-01,8.083024577476938255e-01,4.606493934988975525e-02,2.205023542046546936e-03,4.250154271721839905e-02,4.460467025637626648e-02,4.384183883666992188e-02,7.103482947619288446e-01,1.369977769486741548e-01,6.545240479161621439e-01,6.468685911591797177e-01,7.164191462634137419e-01,6.775665860258677231e-01,2.199091671908882939e-01,6.869075715349932665e-01,5.908250602880947833e-01,1.305511883350186364e-01,6.008457074430898492e-01
